id,college,branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
88,E009 P E S University (Ring Road Campus) Bangalore,AI,4153,999999999,999999999,4919,17938,7765,6443,999999999,999999999,1596,999999999,999999999,2545,999999999,5913,1301,13501,5205,21248,52367,29527,11255,999999999,20874
89,E009 P E S University (Ring Road Campus) Bangalore,BT,10805,999999999,999999999,26831,999999999,53560,39816,999999999,999999999,12291,999999999,999999999,22462,999999999,999999999,7692,999999999,43465,37349,999999999,999999999,999999999,999999999,999999999
90,E009 P E S University (Ring Road Campus) Bangalore,CS,2529,5411,5108,2568,6578,3989,3741,999999999,6896,1343,9364,2321,1561,3932,2751,787,3475,2141,10121,18584,12896,4628,999999999,7207
91,E009 P E S University (Ring Road Campus) Bangalore,EC,6200,999999999,9142,7355,10728,12667,14106,22488,18644,4205,999999999,8931,4973,999999999,9091,3366,10027,8495,30280,40052,40599,16151,999999999,999999999
92,E009 P E S University (Ring Road Campus) Bangalore,EE,14384,999999999,999999999,19865,999999999,31474,18255,999999999,999999999,10516,999999999,999999999,12850,999999999,999999999,7923,27607,18035,46454,999999999,48224,21953,52541,54121
93,E009 P E S University (Ring Road Campus) Bangalore,ME,999999999,999999999,999999999,35245,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,13742,73919,49170,59626,999999999,122894,78185,999999999,999999999
94,E011 M V J College of Engineering Bangalore,AE,63825,999999999,999999999,69387,78781,95015,65204,999999999,999999999,58176,999999999,999999999,62165,999999999,96139,56762,64523,74248,91319,999999999,151552,72929,999999999,999999999
95,E011 M V J College of Engineering Bangalore,AI,33004,999999999,999999999,28032,999999999,999999999,999999999,999999999,999999999,26450,999999999,999999999,25337,999999999,999999999,25248,26289,28365,47721,999999999,999999999,25703,999999999,69404
96,E011 M V J College of Engineering Bangalore,CD,40181,999999999,999999999,36041,999999999,37611,40608,999999999,999999999,999999999,999999999,999999999,33067,999999999,999999999,31596,999999999,33307,75020,125370,101217,999999999,999999999,999999999
97,E011 M V J College of Engineering Bangalore,CE,158170,999999999,999999999,144252,999999999,999999999,119145,999999999,999999999,119762,999999999,999999999,128429,999999999,999999999,115355,148291,133706,131704,999999999,159677,999999999,999999999,999999999
98,E011 M V J College of Engineering Bangalore,CH,101965,999999999,999999999,104177,999999999,999999999,84673,999999999,999999999,999999999,999999999,999999999,113960,999999999,999999999,79412,999999999,99792,142881,999999999,999999999,999999999,999999999,999999999
99,E011 M V J College of Engineering Bangalore,CS,19718,999999999,24417,19567,27321,20692,24816,999999999,999999999,17787,999999999,19124,17007,999999999,19733,16694,21760,18686,39088,48481,49154,33063,999999999,999999999
100,E011 M V J College of Engineering Bangalore,DS,29372,999999999,999999999,28154,999999999,999999999,999999999,999999999,999999999,27445,999999999,28037,27599,999999999,999999999,26663,999999999,27312,56995,999999999,999999999,36342,52061,68938
101,E011 M V J College of Engineering Bangalore,EC,37045,999999999,999999999,35820,46636,36804,39651,999999999,90345,34909,49404,999999999,35330,999999999,36173,33654,36231,34711,82141,999999999,98235,53194,999999999,999999999
102,E011 M V J College of Engineering Bangalore,EE,73641,999999999,999999999,65359,999999999,999999999,89910,999999999,113143,999999999,999999999,999999999,61502,999999999,999999999,59860,88295,64640,98601,999999999,999999999,999999999,999999999,999999999
103,E011 M V J College of Engineering Bangalore,IE,21783,999999999,999999999,21956,999999999,23467,23293,999999999,999999999,21258,999999999,22471,21847,999999999,999999999,21176,25404,22060,59670,89650,69606,37524,999999999,999999999
104,E011 M V J College of Engineering Bangalore,ME,999999999,999999999,999999999,143319,999999999,999999999,137012,999999999,999999999,109529,999999999,999999999,119981,999999999,999999999,108871,152932,163184,173148,999999999,999999999,999999999,999999999,999999999
105,E011 M V J College of Engineering Bangalore,SE,62716,999999999,89363,56569,999999999,999999999,49646,999999999,999999999,49232,999999999,999999999,999999999,999999999,999999999,46685,999999999,53110,73523,999999999,127739,88164,999999999,999999999
106,E011 M V J College of Engineering Bangalore,TI,999999999,999999999,999999999,118120,999999999,999999999,123893,999999999,999999999,124393,999999999,999999999,106353,999999999,999999999,98692,125205,108197,172548,999999999,999999999,124933,999999999,999999999
107,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",AI,12747,999999999,999999999,14044,999999999,19113,15201,999999999,999999999,12987,999999999,999999999,13284,999999999,999999999,12196,24641,15593,41112,999999999,999999999,999999999,999999999,999999999
